Source1,Source2,Weight
Survival,First-Person,15
Survival,PvP,7
Survival,Sci-fi,6
Survival,Multiplayer,20
Survival,Co-op,19
Survival,Shooter,8
Survival,First-Person Shooter,9
Survival,Action,18
Survival,Gore,6
Survival,Adventure/Exploration,17
Survival,Third Person,6
Survival,Horror,14
Survival,Singleplayer,14
Survival,Open World,16
Survival,Simulation,10
Survival,Early Access,11
Survival,Strategy,6
Survival,Atmospheric,8
Survival,Crafting,11
Survival,Indie,12
Survival,Building,10
Survival,Construction,8
First-Person,Funny,8
First-Person,Character Customization,6
First-Person,PvP,16
First-Person,Sci-fi,9
First-Person,Multiplayer,36
First-Person,Co-op,29
First-Person,Shooter,23
First-Person,Tactics,11
First-Person,First-Person Shooter,25
First-Person,Action,38
First-Person,Gore,10
First-Person,Third Person,10
First-Person,Atmospheric,21
First-Person,Violent,8
First-Person,Mature,7
First-Person,Realistic,13
First-Person,Military,8
First-Person,Singleplayer,26
First-Person,War,10
First-Person,Story Rich,7
First-Person,Moddable,6
First-Person,Strategy,11
First-Person,Adventure/Exploration,24
First-Person,Combat,8
First-Person,Horror,18
First-Person,Open World,26
First-Person,Simulation,17
First-Person,Early Access,10
First-Person,Massively Multiplayer,8
First-Person,RPG,6
First-Person,Great Soundtrack,9
First-Person,Indie,10
First-Person,Crafting,8
Funny,Multiplayer,11
Funny,Co-op,7
Funny,Action,12
Funny,Adventure/Exploration,9
Funny,Great Soundtrack,7
Funny,Singleplayer,11
Funny,Open World,10
Funny,Simulation,6
Character Customization,PvP,9
Character Customization,Multiplayer,19
Character Customization,Co-op,13
Character Customization,Action,17
Character Customization,Free to Play,7
Character Customization,3D,6
Character Customization,Third Person,12
Character Customization,RPG,16
Character Customization,Fantasy,13
Character Customization,Atmospheric,8
Character Customization,Great Soundtrack,6
Character Customization,Singleplayer,16
Character Customization,Open World,12
Character Customization,Action RPG,9
Character Customization,Simulation,8
Character Customization,Adventure/Exploration,12
Character Customization,PvE,7
PvP,Multiplayer,34
PvP,Co-op,25
PvP,Shooter,14
PvP,Tactics,10
PvP,First-Person Shooter,14
PvP,Action,29
PvP,Free to Play,11
PvP,Difficult,7
PvP,Third Person,9
PvP,RPG,7
PvP,Fantasy,10
PvP,Atmospheric,14
PvP,Singleplayer,19
PvP,Open World,17
PvP,Simulation,14
PvP,PvE,10
PvP,eSports,8
PvP,Strategy,11
PvP,Realistic,12
PvP,Military,7
PvP,War,9
PvP,Adventure/Exploration,15
PvP,Combat,6
PvP,Massively Multiplayer,13
PvP,Sports,6
PvP,Horror,6
Sci-fi,Multiplayer,12
Sci-fi,Co-op,9
Sci-fi,Shooter,6
Sci-fi,First-Person Shooter,8
Sci-fi,Action,15
Sci-fi,Adventure/Exploration,14
Sci-fi,Atmospheric,11
Sci-fi,Open World,13
Sci-fi,RPG,7
Sci-fi,Great Soundtrack,7
Sci-fi,Singleplayer,14
Sci-fi,Story Rich,8
Sci-fi,Third Person,7
Multiplayer,Co-op,56
