,Source1,Source2,Weight
0,Casual,Singleplayer,8
1,Casual,Action,8
2,Casual,Adventure,6
3,Casual,Multiplayer,11
4,Casual,Simulation,7
5,Casual,FamilyFriendly,6
6,Casual,GreatSoundtrack,7
7,Singleplayer,FPS,18
8,Singleplayer,War,10
9,Singleplayer,Military,7
10,Singleplayer,Combat,6
11,Singleplayer,Action,52
12,Singleplayer,Shooter,18
13,Singleplayer,Adventure,40
14,Singleplayer,PvP,14
15,Singleplayer,First-Person,26
16,Singleplayer,Multiplayer,54
17,Singleplayer,Team-Based,6
18,Singleplayer,Building,14
19,Singleplayer,OnlineCo-Op,24
20,Singleplayer,EarlyAccess,9
21,Singleplayer,PvE,7
22,Singleplayer,BaseBuilding,9
23,Singleplayer,Co-op,33
24,Singleplayer,OpenWorld,39
25,Singleplayer,Indie,16
26,Singleplayer,Exploration,16
27,Singleplayer,Survival,15
28,Singleplayer,Difficult,8
29,Singleplayer,Sandbox,24
30,Singleplayer,ThirdPerson,18
31,Singleplayer,Crafting,11
32,Singleplayer,OpenWorldSurvivalCraft,9
33,Singleplayer,CharacterCustomization,19
34,Singleplayer,Fantasy,11
35,Singleplayer,Violent,13
36,Singleplayer,SexualContent,7
37,Singleplayer,MassivelyMultiplayer,9
38,Singleplayer,RPG,25
39,Singleplayer,Moddable,8
40,Singleplayer,Funny,8
41,Singleplayer,Mature,7
42,Singleplayer,GreatSoundtrack,32
43,Singleplayer,Third-PersonShooter,8
44,Singleplayer,Atmospheric,34
45,Singleplayer,Realistic,15
46,Singleplayer,Simulation,27
47,Singleplayer,Beautiful,6
48,Singleplayer,Sports,8
49,Singleplayer,StoryRich,24
50,Singleplayer,Gore,14
51,Singleplayer,ActionRPG,12
52,Singleplayer,Zombies,6
53,Singleplayer,ReplayValue,8
54,Singleplayer,Horror,11
55,Singleplayer,HackandSlash,8
56,Singleplayer,Sci-fi,18
57,Singleplayer,Space,8
58,Singleplayer,Controller,7
59,Singleplayer,eSports,6
60,Singleplayer,FamilyFriendly,6
61,Singleplayer,Competitive,7
62,Singleplayer,VR,6
63,Singleplayer,3D,8
64,Singleplayer,Tactical,7
65,Singleplayer,Dark,6
66,Singleplayer,Strategy,20
67,Singleplayer,RTS,6
68,Singleplayer,CityBuilder,8
69,Singleplayer,ResourceManagement,6
70,Singleplayer,Management,12
71,Singleplayer,Historical,8
72,Singleplayer,Nudity,7
73,Singleplayer,GrandStrategy,6
74,Singleplayer,FemaleProtagonist,7
75,Singleplayer,Cute,6
76,Singleplayer,Post-apocalyptic,8
77,Singleplayer,2D,7
78,Singleplayer,DarkFantasy,6
79,FPS,War,6
80,FPS,Military,6
81,FPS,Action,28
82,FPS,Shooter,25
83,FPS,Adventure,16
84,FPS,PvP,15
85,FPS,First-Person,27
86,FPS,Multiplayer,26
87,FPS,Team-Based,9
88,FPS,OnlineCo-Op,15
89,FPS,Simulation,7
90,FPS,Co-op,19
91,FPS,Survival,12
92,FPS,Competitive,7
93,FPS,Tactical,7
94,FPS,Sci-fi,11
95,FPS,OpenWorld,17
96,FPS,Atmospheric,17
97,FPS,Realistic,6
98,FPS,GreatSoundtrack,10
99,FPS,Exploration,6
100,FPS,StoryRich,10
101,FPS,Gore,10
102,FPS,Sandbox,7
103,FPS,Zombies,7
104,FPS,Violent,7
105,FPS,Horror,10
106,FPS,Post-apocalyptic,6
107,War,Military,9
108,War,Action,10
109,War,Shooter,8
110,War,PvP,7
111,War,Multiplayer,14
112,War,Team-Based,6
113,War,Realistic,6
114,War,OnlineCo-Op,7
115,War,Strategy,10
116,War,Co-op,8
117,War,Tactical,8
118,War,Simulation,7
119,War,Historical,7
120,Military,Action,10
121,Military,Shooter,9
122,Military,PvP,6
123,Military,Multiplayer,10
124,Military,Team-Based,6
125,Military,Realistic,6
126,Military,Strategy,6
127,Combat,Action,8
128,Combat,Shooter,6
129,Combat,Multiplayer,7
130,Action,Shooter,29
131,Action,Adventure,43
132,Action,PvP,27
133,Action,First-Person,36
134,Action,Multiplayer,57
135,Action,Team-Based,14
136,Action,CharacterCustomization,17
137,Action,FemaleProtagonist,9
138,Action,HackandSlash,10
139,Action,Mature,8
140,Action,Anime,7
141,Action,Violent,14
142,Action,Gore,17
143,Action,Survival,19
144,Action,FreetoPlay,13
145,Action,ThirdPerson,23
146,Action,MassivelyMultiplayer,17
147,Action,BattleRoyale,6
148,Action,OnlineCo-Op,31
149,Action,Strategy,15
150,Action,Simulation,18
151,Action,EarlyAccess,8
152,Action,Co-op,42
153,Action,Stealth,6
154,Action,Third-PersonShooter,11
155,Action,Competitive,13
156,Action,Difficult,15
157,Action,Tactical,12
158,Action,Lore-Rich,7
159,Action,MMORPG,7
160,Action,PvE,10
161,Action,Sci-fi,18
162,Action,OpenWorld,36
163,Action,Space,8
164,Action,Atmospheric,37
165,Action,eSports,6
166,Action,ActionRPG,15
167,Action,Fantasy,11
168,Action,ReplayValue,8
169,Action,RPG,24
170,Action,Realistic,13
171,Action,Funny,9
172,Action,Building,7
173,Action,Indie,14
174,Action,Exploration,15
175,Action,Sandbox,18
176,Action,Crafting,11
177,Action,OpenWorldSurvivalCraft,10
178,Action,SurvivalHorror,8
179,Action,Horror,15
180,Action,GreatSoundtrack,28
181,Action,StoryRich,27
182,Action,Zombies,9
183,Action,Post-apocalyptic,10
184,Action,Nudity,7
185,Action,Dark,7
186,Shooter,Adventure,14
187,Shooter,PvP,14
188,Shooter,First-Person,23
189,Shooter,Multiplayer,26
190,Shooter,Team-Based,10
191,Shooter,OnlineCo-Op,16
192,Shooter,Simulation,8
193,Shooter,Co-op,22
194,Shooter,Third-PersonShooter,10
195,Shooter,Survival,9
196,Shooter,Competitive,7
197,Shooter,ThirdPerson,7
198,Shooter,Tactical,8
199,Shooter,Sci-fi,12
200,Shooter,OpenWorld,14
201,Shooter,Space,6
202,Shooter,FreetoPlay,8
203,Shooter,Atmospheric,15
204,Shooter,MassivelyMultiplayer,7
205,Shooter,Realistic,8
206,Shooter,GreatSoundtrack,10
207,Shooter,Sandbox,7
208,Shooter,StoryRich,9
209,Shooter,Gore,9
210,Shooter,Violent,6
211,Shooter,Horror,8
212,Shooter,RPG,6
213,Shooter,Post-apocalyptic,6
214,Adventure,PvP,14
215,Adventure,First-Person,24
216,Adventure,Multiplayer,39
217,Adventure,CharacterCustomization,13
218,Adventure,FemaleProtagonist,6
219,Adventure,HackandSlash,6
220,Adventure,Mature,6
221,Adventure,Violent,11
222,Adventure,Gore,11
223,Adventure,Survival,15
224,Adventure,FreetoPlay,7
225,Adventure,ThirdPerson,19
226,Adventure,MassivelyMultiplayer,11
227,Adventure,MMORPG,7
228,Adventure,PvE,6
229,Adventure,Co-op,22
230,Adventure,Sci-fi,14
231,Adventure,OpenWorld,34
232,Adventure,Atmospheric,29
233,Adventure,Building,8
234,Adventure,OnlineCo-Op,16
235,Adventure,EarlyAccess,6
236,Adventure,Indie,11
237,Adventure,Exploration,16
238,Adventure,Sandbox,16
239,Adventure,Crafting,11
240,Adventure,OpenWorldSurvivalCraft,10
241,Adventure,Fantasy,9
242,Adventure,RPG,20
243,Adventure,GreatSoundtrack,20
244,Adventure,Realistic,7
245,Adventure,Simulation,12
246,Adventure,Beautiful,6
247,Adventure,StoryRich,21
248,Adventure,ActionRPG,10
249,Adventure,Zombies,6
250,Adventure,Horror,8
251,Adventure,Post-apocalyptic,9
252,Adventure,Nudity,7
253,Adventure,Strategy,7
254,PvP,Cinematic,6
255,PvP,First-Person,15
256,PvP,Multiplayer,30
257,PvP,Team-Based,11
258,PvP,CharacterCustomization,6
259,PvP,Survival,7
260,PvP,FreetoPlay,9
261,PvP,ThirdPerson,6
262,PvP,MassivelyMultiplayer,12
263,PvP,BattleRoyale,6
264,PvP,OnlineCo-Op,19
265,PvP,Strategy,7
266,PvP,Simulation,10
267,PvP,Co-op,21
268,PvP,Competitive,10
269,PvP,Difficult,6
270,PvP,Tactical,6
271,PvP,PvE,8
272,PvP,OpenWorld,14
273,PvP,Atmospheric,10
274,PvP,eSports,7
275,PvP,Realistic,9
276,Cinematic,Multiplayer,7
277,First-Person,Multiplayer,32
278,First-Person,Team-Based,8
279,First-Person,OnlineCo-Op,19
280,First-Person,Strategy,7
281,First-Person,Simulation,13
282,First-Person,EarlyAccess,8
283,First-Person,Co-op,25
284,First-Person,Survival,16
285,First-Person,Competitive,6
286,First-Person,ThirdPerson,8
287,First-Person,Tactical,7
288,First-Person,Sci-fi,13
289,First-Person,OpenWorld,24
290,First-Person,Atmospheric,21
291,First-Person,MassivelyMultiplayer,6
292,First-Person,Realistic,8
293,First-Person,Funny,6
294,First-Person,SurvivalHorror,6
295,First-Person,Mature,6
296,First-Person,Violent,7
297,First-Person,Gore,10
298,First-Person,Horror,12
299,First-Person,GreatSoundtrack,12
300,First-Person,Sandbox,14
301,First-Person,Exploration,9
302,First-Person,StoryRich,11
303,First-Person,Zombies,7
304,First-Person,Indie,8
305,First-Person,Crafting,7
306,First-Person,OpenWorldSurvivalCraft,7
307,Multiplayer,Team-Based,16
308,Multiplayer,CharacterCustomization,19
309,Multiplayer,HackandSlash,6
310,Multiplayer,Mature,6
311,Multiplayer,Violent,12
312,Multiplayer,Gore,14
313,Multiplayer,Survival,20
314,Multiplayer,FreetoPlay,13
315,Multiplayer,ThirdPerson,20
316,Multiplayer,MassivelyMultiplayer,16
317,Multiplayer,BattleRoyale,6
318,Multiplayer,OnlineCo-Op,38
319,Multiplayer,Strategy,24
320,Multiplayer,Simulation,33
321,Multiplayer,EarlyAccess,9
322,Multiplayer,Co-op,48
323,Multiplayer,Third-PersonShooter,8
324,Multiplayer,Competitive,14
325,Multiplayer,Difficult,12
326,Multiplayer,Tactical,14
327,Multiplayer,Lore-Rich,6
328,Multiplayer,MMORPG,8
329,Multiplayer,PvE,9
330,Multiplayer,Sci-fi,14
331,Multiplayer,OpenWorld,40
332,Multiplayer,Space,7
333,Multiplayer,Atmospheric,29
334,Multiplayer,eSports,10
335,Multiplayer,ActionRPG,7
336,Multiplayer,Fantasy,11
337,Multiplayer,RTS,7
338,Multiplayer,ReplayValue,6
339,Multiplayer,RPG,18
340,Multiplayer,Realistic,19
341,Multiplayer,3D,11
342,Multiplayer,Moddable,8
343,Multiplayer,Funny,9
344,Multiplayer,Building,12
345,Multiplayer,BaseBuilding,8
346,Multiplayer,Indie,14
347,Multiplayer,Exploration,14
348,Multiplayer,Sandbox,22
349,Multiplayer,Crafting,12
350,Multiplayer,OpenWorldSurvivalCraft,10
351,Multiplayer,SexualContent,6
352,Multiplayer,SurvivalHorror,7
353,Multiplayer,Horror,11
354,Multiplayer,GreatSoundtrack,22
355,Multiplayer,Sports,9
356,Multiplayer,StoryRich,18
357,Multiplayer,Zombies,7
358,Multiplayer,Controller,10
359,Multiplayer,LocalMultiplayer,7
360,Multiplayer,Post-apocalyptic,8
361,Multiplayer,FamilyFriendly,8
362,Multiplayer,ImmersiveSim,7
363,Multiplayer,VR,6
364,Multiplayer,CityBuilder,6
365,Multiplayer,Management,12
366,Multiplayer,Historical,9
367,Multiplayer,GrandStrategy,6
368,Multiplayer,Cute,6
369,Multiplayer,2D,6
370,Team-Based,OnlineCo-Op,13
371,Team-Based,Strategy,8
372,Team-Based,Simulation,7
373,Team-Based,Co-op,14
374,Team-Based,Competitive,9
375,Team-Based,Difficult,6
376,Team-Based,Tactical,8
377,Team-Based,eSports,7
378,Team-Based,FreetoPlay,6
379,Team-Based,Realistic,8
380,CharacterCustomization,HackandSlash,6
381,CharacterCustomization,FreetoPlay,6
382,CharacterCustomization,ThirdPerson,12
383,CharacterCustomization,ActionRPG,10
384,CharacterCustomization,OnlineCo-Op,7
385,CharacterCustomization,Fantasy,10
386,CharacterCustomization,Simulation,8
387,CharacterCustomization,Co-op,10
388,CharacterCustomization,RPG,16
389,CharacterCustomization,Sci-fi,8
390,CharacterCustomization,OpenWorld,12
391,CharacterCustomization,StoryRich,11
392,CharacterCustomization,Atmospheric,9
393,CharacterCustomization,GreatSoundtrack,7
394,CharacterCustomization,Management,6
395,FemaleProtagonist,StoryRich,7
396,FemaleProtagonist,Atmospheric,7
397,HackandSlash,ThirdPerson,6
398,HackandSlash,ActionRPG,7
399,HackandSlash,RPG,8
400,HackandSlash,Atmospheric,6
401,HackandSlash,StoryRich,7
402,Mature,Atmospheric,6
403,Violent,Gore,11
404,Violent,Survival,6
405,Violent,ThirdPerson,6
406,Violent,Co-op,7
407,Violent,OpenWorld,9
408,Violent,RPG,8
409,Violent,Atmospheric,9
410,Violent,Horror,6
411,Violent,StoryRich,8
412,Violent,GreatSoundtrack,6
413,Gore,Survival,8
414,Gore,ThirdPerson,6
415,Gore,SurvivalHorror,7
416,Gore,OnlineCo-Op,6
417,Gore,Co-op,9
418,Gore,Difficult,6
419,Gore,Atmospheric,12
420,Gore,Horror,11
421,Gore,StoryRich,10
422,Gore,GreatSoundtrack,8
423,Gore,OpenWorld,10
424,Gore,Zombies,8
425,Survival,ThirdPerson,6
426,Survival,OnlineCo-Op,11
427,Survival,Strategy,7
