Source1,Source2,Weight
FPS,Co-op,17
FPS,Action,22
FPS,Multiplayer/Co-op,22
FPS,Shooter,19
FPS,Player Interaction,13
FPS,Strategy,9
FPS,Realistic,9
FPS,Perspective,22
FPS,Survival,10
FPS,Simulation,8
FPS,Stealth,6
FPS,Adventure/Open World,19
FPS,Sci-fi,10
FPS,Visual Style,13
FPS,Gore,6
FPS,Narrative/Story,8
FPS,Player Mode,11
FPS,Sandbox,8
Moddable,Co-op,8
Moddable,Action,7
Moddable,Multiplayer/Co-op,16
Moddable,Strategy,12
Moddable,Realistic,8
Moddable,Perspective,9
Moddable,Player Mode,16
Moddable,Simulation,13
Moddable,Visual Style,9
Moddable,Management,10
Moddable,Crafting/Building,10
Moddable,Great Soundtrack,8
Moddable,Adventure/Open World,12
Moddable,Sandbox,9
Co-op,Action,44
Co-op,Multiplayer/Co-op,52
Co-op,Shooter,23
Co-op,Player Interaction,20
Co-op,Strategy,27
Co-op,Difficult,16
Co-op,Realistic,10
Co-op,Perspective,32
Co-op,Military,9
Co-op,War,10
Co-op,Historical,6
Co-op,Player Mode,37
Co-op,Simulation,19
Co-op,Visual Style,28
Co-op,Crafting/Building,15
Co-op,Great Soundtrack,14
Co-op,Survival,16
Co-op,Stealth,7
Co-op,RPG,17
Co-op,Sci-fi,13
Co-op,Character Customization,9
Co-op,Massively Multiplayer,11
Co-op,Free to Play,7
Co-op,Adventure/Open World,36
Co-op,Replay Value,7
Co-op,Fantasy,15
Co-op,RTS,6
Co-op,Violent,11
Co-op,Sandbox,17
Co-op,Comedy,6
Co-op,Funny,11
Co-op,Casual,6
Co-op,Indie,12
Co-op,Horror,6
Co-op,Gore,8
Co-op,Narrative/Story,11
Action,Multiplayer/Co-op,59
Action,Shooter,29
Action,Player Interaction,25
Action,Strategy,27
Action,Difficult,20
Action,Realistic,14
Action,Perspective,50
Action,Military,10
Action,War,12
Action,Survival,21
Action,Simulation,21
Action,Stealth,11
Action,Early Access,8
Action,RPG,28
Action,Hack and Slash,9
Action,Player Mode,54
Action,Sci-fi,21
Action,Character Customization,15
Action,Massively Multiplayer,13
Action,Free to Play,9
Action,Adventure/Open World,53
Action,Souls-like,7
Action,Visual Style,39
Action,Replay Value,7
Action,Fantasy,23
Action,Great Soundtrack,26
Action,Historical,8
Action,RTS,6
Action,Violent,16
Action,Sandbox,23
Action,Narrative/Story,25
Action,Gore,17
Action,Comedy,7
Action,Funny,13
Action,Mature,8
Action,Female Protagonist,8
Action,Horror,12
Action,Nudity,10
Action,Anime,7
Action,Casual,10
Action,Indie,19
Action,Crafting/Building,14
Multiplayer/Co-op,Shooter,29
Multiplayer/Co-op,Player Interaction,27
Multiplayer/Co-op,Strategy,35
Multiplayer/Co-op,Difficult,19
Multiplayer/Co-op,Realistic,19
Multiplayer/Co-op,Perspective,47
Multiplayer/Co-op,Military,12
Multiplayer/Co-op,War,13
Multiplayer/Co-op,Historical,10
Multiplayer/Co-op,City Builder,6
Multiplayer/Co-op,Turn-Based,6
Multiplayer/Co-op,Player Mode,59
Multiplayer/Co-op,Simulation,35
Multiplayer/Co-op,Visual Style,41
Multiplayer/Co-op,Management,12
Multiplayer/Co-op,Crafting/Building,25
Multiplayer/Co-op,Great Soundtrack,26
Multiplayer/Co-op,Survival,23
Multiplayer/Co-op,Stealth,10
Multiplayer/Co-op,Early Access,8
Multiplayer/Co-op,RPG,23
Multiplayer/Co-op,Hack and Slash,7
Multiplayer/Co-op,Sci-fi,21
Multiplayer/Co-op,Character Customization,14
Multiplayer/Co-op,Massively Multiplayer,15
Multiplayer/Co-op,Free to Play,10
Multiplayer/Co-op,Adventure/Open World,55
Multiplayer/Co-op,Replay Value,11
Multiplayer/Co-op,Fantasy,18
Multiplayer/Co-op,Loot,6
Multiplayer/Co-op,RTS,7
Multiplayer/Co-op,Violent,16
Multiplayer/Co-op,Sandbox,29
Multiplayer/Co-op,Narrative/Story,22
Multiplayer/Co-op,Comedy,7
Multiplayer/Co-op,Funny,15
Multiplayer/Co-op,Female Protagonist,6
Multiplayer/Co-op,Horror,11
Multiplayer/Co-op,Gore,15
Multiplayer/Co-op,Controller,8
Multiplayer/Co-op,Casual,16
Multiplayer/Co-op,Indie,19
