Source1,Source2,Weight
Multiplayer,Difficult,33
Multiplayer,First-Person,65
Multiplayer,PvP,59
Multiplayer,Realistic,44
Multiplayer,Co-op,114
Multiplayer,Shooter,52
Multiplayer,Military,21
Multiplayer,Moddable,24
Multiplayer,eSports,18
Multiplayer,Tactics,31
Multiplayer,War,28
Multiplayer,First-Person Shooter,48
Multiplayer,Strategy,56
Multiplayer,Action,130
Multiplayer,3D,28
Multiplayer,Destruction,7
Multiplayer,Hero Shooter,7
Multiplayer,Simulation,72
Multiplayer,Grand Strategy,14
Multiplayer,Turn-Based,13
Multiplayer,Atmospheric,69
Multiplayer,Building,24
Multiplayer,Construction,25
Multiplayer,Great Soundtrack,50
Multiplayer,4X,6
Multiplayer,Management,30
Multiplayer,Singleplayer,138
Multiplayer,Historical,19
Multiplayer,Early Access,23
Multiplayer,Survival,43
Multiplayer,Stealth,15
Multiplayer,Third Person,52
Multiplayer,Battle Royale,6
Multiplayer,Third-Person Shooter,18
Multiplayer,PvE,28
Multiplayer,Character Customization,48
Multiplayer,RPG,59
Multiplayer,Sci-fi,33
Multiplayer,Parkour,10
Multiplayer,Combat,40
Multiplayer,Action RPG,21
Multiplayer,Lore-Rich,9
Multiplayer,Massively Multiplayer,29
Multiplayer,Free to Play,21
Multiplayer,Adventure/Exploration,96
Multiplayer,MMORPG,10
Multiplayer,Souls-like,12
Multiplayer,Replay Value,16
Multiplayer,Open World,98
Multiplayer,Fantasy,45
Multiplayer,Loot,13
Multiplayer,Violent,34
Multiplayer,Real Time Tactics,7
Multiplayer,Story Rich,50
Multiplayer,Class-Based,6
Multiplayer,Funny,31
Multiplayer,Mature,11
Multiplayer,Comedy,11
Multiplayer,Racing,9
Multiplayer,Female Protagonist,14
Multiplayer,Gore,36
Multiplayer,Nudity,8
Multiplayer,Classic,7
Multiplayer,Sexual Content,9
Multiplayer,Controller,27
Multiplayer,Anime,14
Multiplayer,Horror,54
Multiplayer,Zombies,14
Multiplayer,Puzzle,6
Multiplayer,Sports,20
Multiplayer,Indie,35
Multiplayer,Casual,28
Multiplayer,Local Multiplayer,21
Multiplayer,4 Player Local,7
Multiplayer,Split Screen,7
Multiplayer,Fighting,7
Multiplayer,Beautiful,7
Multiplayer,Aliens,6
Multiplayer,Post-apocalyptic,17
Multiplayer,Crafting,22
Multiplayer,Cartoony,6
Multiplayer,Diplomacy,6
Multiplayer,Futuristic,6
Multiplayer,Real-Time with Pause,7
Multiplayer,VR,11
Multiplayer,Modern,6
Multiplayer,World War II,7
Multiplayer,Political,17
Multiplayer,Relaxing,10
Multiplayer,Immersive Sim,15
Multiplayer,Family Friendly,18
Multiplayer,Driving,9
Multiplayer,Cute,10
Multiplayer,Resource Management,11
Multiplayer,Co-op Campaign,7
Multiplayer,Isometric,9
Multiplayer,Arcade,8
Multiplayer,Cinematic,12
Multiplayer,2D,12
Multiplayer,America,6
Multiplayer,Colorful,9
Multiplayer,Alternate History,6
Multiplayer,Platformer,6
Multiplayer,Physics,8
Difficult,First-Person,9
Difficult,PvP,10
Difficult,Co-op,27
Difficult,Shooter,10
Difficult,Tactics,7
Difficult,First-Person Shooter,8
Difficult,Strategy,11
Difficult,Action,37
Difficult,Survival,11
Difficult,Third Person,17
Difficult,RPG,21
Difficult,Adventure/Exploration,23
Difficult,Character Customization,13
Difficult,Atmospheric,25
Difficult,Souls-like,12
Difficult,Great Soundtrack,18
Difficult,Singleplayer,29
Difficult,Replay Value,7
Difficult,Open World,14
Difficult,Combat,12
Difficult,Action RPG,9
Difficult,Fantasy,16
Difficult,Gore,14
Difficult,Horror,22
Difficult,Violent,14
Difficult,Story Rich,13
Difficult,Indie,14
First-Person,PvP,27
First-Person,Realistic,26
First-Person,Co-op,46
First-Person,Shooter,42
First-Person,Military,12
First-Person,Moddable,12
First-Person,Tactics,16
First-Person,War,13
First-Person,First-Person Shooter,46
First-Person,Strategy,17
First-Person,Action,68
First-Person,3D,12
First-Person,Hero Shooter,6
First-Person,Simulation,29
First-Person,Early Access,17
First-Person,Survival,27
First-Person,Stealth,12
First-Person,Third Person,17
First-Person,Third-Person Shooter,7
First-Person,PvE,13
First-Person,Adventure/Exploration,47
First-Person,Atmospheric,40
First-Person,Sci-fi,22
First-Person,Open World,46
First-Person,Massively Multiplayer,11
First-Person,Funny,15
First-Person,Mature,8
First-Person,Great Soundtrack,19
First-Person,Singleplayer,51
First-Person,Racing,6
First-Person,Gore,21
First-Person,Horror,40
First-Person,Violent,15
First-Person,Fantasy,7
First-Person,Character Customization,14
First-Person,Indie,17
First-Person,Combat,16
First-Person,Story Rich,21
First-Person,RPG,14
First-Person,Action RPG,9
First-Person,Crafting,11
First-Person,Building,8
First-Person,Construction,9
First-Person,Post-apocalyptic,9
First-Person,Zombies,10
First-Person,Casual,6
First-Person,VR,8
First-Person,Sports,6
First-Person,Cinematic,6
First-Person,Immersive Sim,7
First-Person,Management,6
PvP,Realistic,18
PvP,Co-op,38
PvP,Shooter,21
PvP,Military,11
PvP,eSports,13
PvP,Tactics,13
PvP,War,13
PvP,First-Person Shooter,22
PvP,Strategy,17
PvP,Action,49
PvP,3D,13
PvP,Simulation,20
PvP,Early Access,6
PvP,Survival,14
PvP,Third Person,13
PvP,Battle Royale,6
PvP,PvE,17
PvP,Adventure/Exploration,27
PvP,Atmospheric,16
PvP,MMORPG,6
PvP,Sci-fi,8
PvP,Open World,23
PvP,Lore-Rich,6
PvP,Massively Multiplayer,19
PvP,Free to Play,13
PvP,Character Customization,17
PvP,RPG,13
PvP,Singleplayer,34
PvP,Action RPG,8
PvP,Story Rich,10
PvP,Fantasy,17
PvP,Gore,8
PvP,Indie,8
PvP,Combat,13
PvP,Funny,9
PvP,Casual,8
PvP,Great Soundtrack,12
PvP,Sports,11
PvP,Arcade,8
PvP,Cinematic,10
PvP,Controller,12
PvP,Violent,7
PvP,Anime,6
PvP,Horror,10
PvP,Local Multiplayer,11
PvP,Immersive Sim,7
Realistic,Co-op,26
Realistic,Shooter,16
Realistic,Military,11
Realistic,Moddable,12
Realistic,eSports,11
Realistic,Tactics,10
Realistic,War,13
Realistic,First-Person Shooter,15
Realistic,Strategy,13
Realistic,Action,33
Realistic,3D,14
Realistic,Fantasy,8
Realistic,Gore,8
Realistic,PvE,7
Realistic,Survival,8
Realistic,Character Customization,10
Realistic,Third Person,17
Realistic,Indie,9
Realistic,Combat,8
Realistic,Historical,6
Realistic,Adventure/Exploration,19
Realistic,Atmospheric,20
Realistic,Great Soundtrack,11
Realistic,Singleplayer,40
Realistic,Third-Person Shooter,6
Realistic,Open World,28
Realistic,Story Rich,9
Realistic,Simulation,36
Realistic,Modern,6
Realistic,Massively Multiplayer,8
Realistic,Free to Play,6
Realistic,Political,9
Realistic,Relaxing,9
Realistic,Immersive Sim,12
Realistic,Casual,10
Realistic,Management,13
Realistic,Controller,15
Realistic,Family Friendly,12
Realistic,Driving,8
Realistic,Funny,8
Realistic,Construction,6
Realistic,Building,8
Realistic,Resource Management,6
Realistic,Horror,9
Realistic,Early Access,6
Realistic,Cinematic,7
Realistic,Sports,14
Realistic,RPG,9
Realistic,Violent,7
Realistic,Local Multiplayer,11
Co-op,Shooter,40
Co-op,Military,10
Co-op,Moddable,11
Co-op,eSports,13
Co-op,Tactics,24
Co-op,War,14
Co-op,First-Person Shooter,36
Co-op,Strategy,33
Co-op,Action,93
Co-op,3D,17
Co-op,Hero Shooter,6
Co-op,Simulation,39
Co-op,Grand Strategy,8
Co-op,Turn-Based,8
Co-op,Atmospheric,48
Co-op,Building,14
Co-op,Construction,14
Co-op,Great Soundtrack,24
Co-op,Management,14
Co-op,Singleplayer,85
Co-op,Historical,10
Co-op,Early Access,14
Co-op,Survival,32
Co-op,Stealth,10
Co-op,Third Person,31
Co-op,Third-Person Shooter,14
Co-op,PvE,23
Co-op,Character Customization,28
Co-op,RPG,42
Co-op,Sci-fi,19
Co-op,Combat,21
Co-op,Action RPG,14
Co-op,Lore-Rich,7
Co-op,Massively Multiplayer,16
Co-op,Free to Play,12
Co-op,Adventure/Exploration,61
Co-op,MMORPG,6
Co-op,Souls-like,11
Co-op,Replay Value,10
Co-op,Open World,57
Co-op,Fantasy,31
Co-op,Loot,13
Co-op,Violent,24
Co-op,Funny,23
Co-op,Comedy,10
Co-op,Sports,14
Co-op,Indie,24
Co-op,Casual,13
Co-op,Local Multiplayer,18
Co-op,4 Player Local,7
Co-op,Split Screen,7
Co-op,Gore,24
Co-op,Horror,42
Co-op,Story Rich,24
Co-op,Post-apocalyptic,11
Co-op,Crafting,16
Co-op,Controller,18
Co-op,Female Protagonist,7
Co-op,Immersive Sim,9
Co-op,Resource Management,6
Co-op,Colorful,8
Co-op,2D,7
Co-op,Political,6
Co-op,Family Friendly,10
Co-op,Isometric,6
Co-op,Zombies,10
Co-op,Cute,6
Co-op,Cinematic,6
Shooter,Military,16
Shooter,Tactics,17
Shooter,War,15
Shooter,First-Person Shooter,47
Shooter,Strategy,11
Shooter,Action,58
Shooter,3D,6
Shooter,Hero Shooter,7
Shooter,Simulation,15
Shooter,Survival,19
Shooter,Stealth,10
Shooter,Third Person,18
Shooter,Third-Person Shooter,19
Shooter,PvE,10
Shooter,Character Customization,11
Shooter,RPG,13
Shooter,Sci-fi,20
Shooter,Singleplayer,39
Shooter,Combat,16
Shooter,Action RPG,6
Shooter,Massively Multiplayer,12
Shooter,Free to Play,9
Shooter,Adventure/Exploration,34
Shooter,Atmospheric,32
Shooter,Loot,8
Shooter,Open World,26
Shooter,Funny,7
Shooter,Mature,6
Shooter,Great Soundtrack,15
Shooter,Gore,22
Shooter,Horror,31
Shooter,Female Protagonist,8
Shooter,Violent,19
Shooter,Story Rich,19
Shooter,Zombies,9
Shooter,Post-apocalyptic,12
Military,Tactics,12
Military,War,16
Military,First-Person Shooter,12
Military,Strategy,12
Military,Action,19
Military,Simulation,12
Military,Singleplayer,15
Military,Historical,7
Military,Open World,10
Military,Atmospheric,8
Military,Combat,8
Military,Third-Person Shooter,6
Military,World War II,6
Military,Massively Multiplayer,8
Moddable,Tactics,7
Moddable,War,6
Moddable,Strategy,18
Moddable,Action,10
Moddable,Simulation,20
Moddable,Grand Strategy,8
Moddable,Atmospheric,11
Moddable,Great Soundtrack,11
Moddable,Management,14
Moddable,Singleplayer,23
Moddable,Historical,7
Moddable,Adventure/Exploration,11
Moddable,Third Person,8
Moddable,Open World,23
Moddable,Replay Value,6
Moddable,Real-Time with Pause,7
Moddable,Political,12
Moddable,Casual,7
Moddable,Family Friendly,6
Moddable,Character Customization,9
Moddable,RPG,10
Moddable,Story Rich,6
Moddable,Fantasy,7
eSports,Strategy,7
eSports,Action,8
eSports,3D,11
eSports,Simulation,14
eSports,Character Customization,6
eSports,Sports,12
eSports,Singleplayer,14
eSports,Controller,9
eSports,Local Multiplayer,10
eSports,Immersive Sim,6
eSports,Management,6
Tactics,War,16
Tactics,First-Person Shooter,16
Tactics,Strategy,21
Tactics,Action,25
Tactics,Simulation,13
Tactics,Grand Strategy,8
Tactics,Turn-Based,10
Tactics,Atmospheric,12
Tactics,Construction,6
Tactics,Great Soundtrack,7
Tactics,Singleplayer,19
Tactics,Historical,7
Tactics,Violent,6
Tactics,Open World,12
Tactics,Fantasy,9
Tactics,Story Rich,7
Tactics,Character Customization,7
Tactics,Gore,7
Tactics,Horror,7
Tactics,Indie,6
War,First-Person Shooter,12
War,Strategy,20
War,Action,22
War,Simulation,16
War,Grand Strategy,9
War,Turn-Based,6
