,Source1,Source2,Weight,Tier
0,Destiny 2,FPS,1,Platinum
1,Destiny 2,Action,1,Platinum
2,Destiny 2,Shooter,1,Platinum
3,Destiny 2,Co-op,1,Platinum
4,Destiny 2,Adventure,1,Platinum
5,Destiny 2,Sci-fi,1,Platinum
6,Destiny 2,PvP,1,Platinum
7,Destiny 2,OpenWorld,1,Platinum
8,Destiny 2,First-Person,1,Platinum
9,Destiny 2,Multiplayer,1,Platinum
10,Destiny 2,Atmospheric,1,Platinum
11,Destiny 2,PvE,1,Platinum
12,Destiny 2,MassivelyMultiplayer,1,Platinum
13,Destiny 2,Competitive,1,Platinum
14,Destiny 2,Space,1,Platinum
15,Destiny 2,FreetoPlay,1,Platinum
16,Counter-Strike 2,FPS,1,Platinum
17,Counter-Strike 2,Action,1,Platinum
18,Counter-Strike 2,Shooter,1,Platinum
19,Counter-Strike 2,Co-op,1,Platinum
20,Counter-Strike 2,PvP,1,Platinum
21,Counter-Strike 2,First-Person,1,Platinum
22,Counter-Strike 2,Multiplayer,1,Platinum
23,Counter-Strike 2,Realistic,1,Platinum
24,Counter-Strike 2,OnlineCo-Op,1,Platinum
25,Counter-Strike 2,War,1,Platinum
26,Counter-Strike 2,Tactical,1,Platinum
27,Counter-Strike 2,Team-Based,1,Platinum
28,Counter-Strike 2,Competitive,1,Platinum
29,Counter-Strike 2,Moddable,1,Platinum
30,Counter-Strike 2,Strategy,1,Platinum
31,Counter-Strike 2,Military,1,Platinum
32,Counter-Strike 2,Difficult,1,Platinum
33,Counter-Strike 2,eSports,1,Platinum
34,Apex Legends,FPS,1,Platinum
35,Apex Legends,Action,1,Platinum
36,Apex Legends,Shooter,1,Platinum
37,Apex Legends,Co-op,1,Platinum
38,Apex Legends,Sci-fi,1,Platinum
39,Apex Legends,PvP,1,Platinum
40,Apex Legends,First-Person,1,Platinum
41,Apex Legends,Multiplayer,1,Platinum
42,Apex Legends,Tactical,1,Platinum
43,Apex Legends,Team-Based,1,Platinum
44,Apex Legends,Survival,1,Platinum
45,Apex Legends,CharacterCustomization,1,Platinum
46,Apex Legends,FreetoPlay,1,Platinum
47,Apex Legends,Funny,1,Platinum
48,PUBG BATTLEGROUNDS,FPS,1,Platinum
49,PUBG BATTLEGROUNDS,Action,1,Platinum
50,PUBG BATTLEGROUNDS,Shooter,1,Platinum
51,PUBG BATTLEGROUNDS,Co-op,1,Platinum
52,PUBG BATTLEGROUNDS,PvP,1,Platinum
53,PUBG BATTLEGROUNDS,First-Person,1,Platinum
54,PUBG BATTLEGROUNDS,Multiplayer,1,Platinum
55,PUBG BATTLEGROUNDS,OnlineCo-Op,1,Platinum
56,PUBG BATTLEGROUNDS,Tactical,1,Platinum
57,PUBG BATTLEGROUNDS,Team-Based,1,Platinum
58,PUBG BATTLEGROUNDS,Survival,1,Platinum
59,PUBG BATTLEGROUNDS,Competitive,1,Platinum
60,PUBG BATTLEGROUNDS,Strategy,1,Platinum
61,PUBG BATTLEGROUNDS,Difficult,1,Platinum
62,PUBG BATTLEGROUNDS,Simulation,1,Platinum
63,PUBG BATTLEGROUNDS,EarlyAccess,1,Platinum
64,PUBG BATTLEGROUNDS,Stealth,1,Platinum
65,PUBG BATTLEGROUNDS,Third-PersonShooter,1,Platinum
66,PUBG BATTLEGROUNDS,ThirdPerson,1,Platinum
67,Dota 2,Action,1,Platinum
68,Dota 2,Co-op,1,Platinum
69,Dota 2,PvP,1,Platinum
70,Dota 2,Multiplayer,1,Platinum
71,Dota 2,OnlineCo-Op,1,Platinum
72,Dota 2,Team-Based,1,Platinum
73,Dota 2,CharacterCustomization,1,Platinum
74,Dota 2,RPG,1,Platinum
75,Dota 2,Competitive,1,Platinum
76,Dota 2,FreetoPlay,1,Platinum
77,Dota 2,Strategy,1,Platinum
78,Dota 2,Difficult,1,Platinum
79,Dota 2,Simulation,1,Platinum
80,Dota 2,ActionRPG,1,Platinum
81,Dota 2,Fantasy,1,Platinum
82,Dota 2,eSports,1,Platinum
83,Dota 2,RTS,1,Platinum
84,Cyberpunk 2077,FPS,1,Platinum
85,Cyberpunk 2077,Action,1,Platinum
86,Cyberpunk 2077,Adventure,1,Platinum
87,Cyberpunk 2077,Sci-fi,1,Platinum
88,Cyberpunk 2077,OpenWorld,1,Platinum
89,Cyberpunk 2077,First-Person,1,Platinum
90,Cyberpunk 2077,Atmospheric,1,Platinum
91,Cyberpunk 2077,Singleplayer,1,Platinum
92,Cyberpunk 2077,GreatSoundtrack,1,Platinum
93,Cyberpunk 2077,Exploration,1,Platinum
94,Cyberpunk 2077,CharacterCustomization,1,Platinum
95,Cyberpunk 2077,RPG,1,Platinum
96,Cyberpunk 2077,ActionRPG,1,Platinum
97,Cyberpunk 2077,Mature,1,Platinum
98,Cyberpunk 2077,StoryRich,1,Platinum
99,Cyberpunk 2077,Violent,1,Platinum
100,Cyberpunk 2077,ImmersiveSim,1,Platinum
101,Sons Of The Forest,Action,1,Platinum
102,Sons Of The Forest,Co-op,1,Platinum
103,Sons Of The Forest,Adventure,1,Platinum
104,Sons Of The Forest,OpenWorld,1,Platinum
105,Sons Of The Forest,First-Person,1,Platinum
106,Sons Of The Forest,Multiplayer,1,Platinum
107,Sons Of The Forest,Atmospheric,1,Platinum
108,Sons Of The Forest,Survival,1,Platinum
109,Sons Of The Forest,Singleplayer,1,Platinum
110,Sons Of The Forest,Exploration,1,Platinum
111,Sons Of The Forest,Horror,1,Platinum
112,Sons Of The Forest,Simulation,1,Platinum
113,Sons Of The Forest,EarlyAccess,1,Platinum
114,Sons Of The Forest,Building,1,Platinum
115,Sons Of The Forest,SurvivalHorror,1,Platinum
116,Sons Of The Forest,Action-Adventure,1,Platinum
117,Sons Of The Forest,Sandbox,1,Platinum
118,Sons Of The Forest,Crafting,1,Platinum
119,Sons Of The Forest,BaseBuilding,1,Platinum
120,Sons Of The Forest,ImmersiveSim,1,Platinum
121,Baldurs Gate 3,Adventure,1,Platinum
122,Baldurs Gate 3,Multiplayer,1,Platinum
123,Baldurs Gate 3,OnlineCo-Op,1,Platinum
124,Baldurs Gate 3,Singleplayer,1,Platinum
125,Baldurs Gate 3,Combat,1,Platinum
126,Baldurs Gate 3,CharacterCustomization,1,Platinum
127,Baldurs Gate 3,RPG,1,Platinum
128,Baldurs Gate 3,Strategy,1,Platinum
129,Baldurs Gate 3,Fantasy,1,Platinum
130,Baldurs Gate 3,StoryRich,1,Platinum
131,Baldurs Gate 3,ChoicesMatter,1,Platinum
132,Baldurs Gate 3,DarkFantasy,1,Platinum
133,Call of Duty,FPS,1,Platinum
134,Call of Duty,Action,1,Platinum
135,Call of Duty,Shooter,1,Platinum
136,Call of Duty,Co-op,1,Platinum
137,Call of Duty,First-Person,1,Platinum
138,Call of Duty,Multiplayer,1,Platinum
139,Call of Duty,Atmospheric,1,Platinum
140,Call of Duty,Realistic,1,Platinum
141,Call of Duty,OnlineCo-Op,1,Platinum
142,Call of Duty,War,1,Platinum
143,Call of Duty,Tactical,1,Platinum
144,Call of Duty,Singleplayer,1,Platinum
145,Call of Duty,Gore,1,Platinum
146,Call of Duty,Military,1,Platinum
147,Call of Duty,Third-PersonShooter,1,Platinum
148,Call of Duty,ThirdPerson,1,Platinum
149,Call of Duty,Mature,1,Platinum
150,Call of Duty,StoryRich,1,Platinum
151,Call of Duty,Violent,1,Platinum
152,Starfield,Action,1,Platinum
153,Starfield,Adventure,1,Platinum
154,Starfield,Sci-fi,1,Platinum
155,Starfield,OpenWorld,1,Platinum
156,Starfield,First-Person,1,Platinum
157,Starfield,Atmospheric,1,Platinum
158,Starfield,Realistic,1,Platinum
159,Starfield,Singleplayer,1,Platinum
160,Starfield,GreatSoundtrack,1,Platinum
161,Starfield,Exploration,1,Platinum
162,Starfield,CharacterCustomization,1,Platinum
163,Starfield,RPG,1,Platinum
164,Starfield,Space,1,Platinum
165,Starfield,Moddable,1,Platinum
166,Starfield,ThirdPerson,1,Platinum
167,Starfield,ActionRPG,1,Platinum
168,Starfield,StoryRich,1,Platinum
169,Starfield,Action-Adventure,1,Platinum
170,Hogwarts Legacy,Action,1,Platinum
171,Hogwarts Legacy,Adventure,1,Platinum
172,Hogwarts Legacy,OpenWorld,1,Platinum
173,Hogwarts Legacy,Atmospheric,1,Platinum
174,Hogwarts Legacy,Singleplayer,1,Platinum
175,Hogwarts Legacy,GreatSoundtrack,1,Platinum
176,Hogwarts Legacy,Exploration,1,Platinum
177,Hogwarts Legacy,Combat,1,Platinum
178,Hogwarts Legacy,CharacterCustomization,1,Platinum
179,Hogwarts Legacy,RPG,1,Platinum
180,Hogwarts Legacy,ThirdPerson,1,Platinum
181,Hogwarts Legacy,ActionRPG,1,Platinum
182,Hogwarts Legacy,Fantasy,1,Platinum
183,Hogwarts Legacy,StoryRich,1,Platinum
184,Hogwarts Legacy,Action-Adventure,1,Platinum
185,Hogwarts Legacy,Dark,1,Platinum
186,Hogwarts Legacy,FamilyFriendly,1,Platinum
187,Hogwarts Legacy,ChoicesMatter,1,Platinum
188,Tom Clancys Rainbow Six Siege,FPS,1,Gold
189,Tom Clancys Rainbow Six Siege,Action,1,Gold
190,Tom Clancys Rainbow Six Siege,Shooter,1,Gold
191,Tom Clancys Rainbow Six Siege,Co-op,1,Gold
192,Tom Clancys Rainbow Six Siege,PvP,1,Gold
193,Tom Clancys Rainbow Six Siege,First-Person,1,Gold
194,Tom Clancys Rainbow Six Siege,Multiplayer,1,Gold
195,Tom Clancys Rainbow Six Siege,Realistic,1,Gold
196,Tom Clancys Rainbow Six Siege,OnlineCo-Op,1,Gold
197,Tom Clancys Rainbow Six Siege,War,1,Gold
198,Tom Clancys Rainbow Six Siege,Tactical,1,Gold
199,Tom Clancys Rainbow Six Siege,Team-Based,1,Gold
200,Tom Clancys Rainbow Six Siege,3D,1,Gold
201,Tom Clancys Rainbow Six Siege,Competitive,1,Gold
202,Tom Clancys Rainbow Six Siege,Strategy,1,Gold
203,Tom Clancys Rainbow Six Siege,Military,1,Gold
204,Tom Clancys Rainbow Six Siege,Difficult,1,Gold
205,Tom Clancys Rainbow Six Siege,eSports,1,Gold
206,Warframe,Action,1,Gold
207,Warframe,Shooter,1,Gold
208,Warframe,Co-op,1,Gold
209,Warframe,Sci-fi,1,Gold
210,Warframe,OnlineCo-Op,1,Gold
211,Warframe,Singleplayer,1,Gold
212,Warframe,PvE,1,Gold
213,Warframe,MassivelyMultiplayer,1,Gold
214,Warframe,CharacterCustomization,1,Gold
215,Warframe,RPG,1,Gold
216,Warframe,Space,1,Gold
217,Warframe,FreetoPlay,1,Gold
218,Warframe,Third-PersonShooter,1,Gold
219,Warframe,ThirdPerson,1,Gold
220,Warframe,ActionRPG,1,Gold
221,Warframe,HackandSlash,1,Gold
222,Warframe,Parkour,1,Gold
223,ARMORED CORE VI FIRES OF RUBICON,Action,1,Gold
224,ARMORED CORE VI FIRES OF RUBICON,Sci-fi,1,Gold
225,ARMORED CORE VI FIRES OF RUBICON,Multiplayer,1,Gold
226,ARMORED CORE VI FIRES OF RUBICON,Atmospheric,1,Gold
227,ARMORED CORE VI FIRES OF RUBICON,Singleplayer,1,Gold
228,ARMORED CORE VI FIRES OF RUBICON,Combat,1,Gold
229,ARMORED CORE VI FIRES OF RUBICON,CharacterCustomization,1,Gold
230,ARMORED CORE VI FIRES OF RUBICON,3D,1,Gold
231,ARMORED CORE VI FIRES OF RUBICON,Military,1,Gold
232,ARMORED CORE VI FIRES OF RUBICON,Difficult,1,Gold
233,ARMORED CORE VI FIRES OF RUBICON,ThirdPerson,1,Gold
234,ARMORED CORE VI FIRES OF RUBICON,Action-Adventure,1,Gold
235,ARMORED CORE VI FIRES OF RUBICON,Post-apocalyptic,1,Gold
236,ARMORED CORE VI FIRES OF RUBICON,Souls-like,1,Gold
237,Resident Evil 4,Action,1,Gold
238,Resident Evil 4,Adventure,1,Gold
239,Resident Evil 4,Realistic,1,Gold
240,Resident Evil 4,Survival,1,Gold
241,Resident Evil 4,Singleplayer,1,Gold
242,Resident Evil 4,Gore,1,Gold
243,Resident Evil 4,Horror,1,Gold
244,Resident Evil 4,3D,1,Gold
245,Resident Evil 4,Third-PersonShooter,1,Gold
246,Resident Evil 4,ThirdPerson,1,Gold
247,Resident Evil 4,StoryRich,1,Gold
248,Resident Evil 4,Violent,1,Gold
249,Resident Evil 4,SurvivalHorror,1,Gold
250,Resident Evil 4,Action-Adventure,1,Gold
251,Resident Evil 4,Dark,1,Gold
252,Resident Evil 4,Zombies,1,Gold
253,Resident Evil 4,PsychologicalHorror,1,Gold
254,ELDEN RING,Action,1,Gold
255,ELDEN RING,Co-op,1,Gold
256,ELDEN RING,PvP,1,Gold
257,ELDEN RING,OpenWorld,1,Gold
258,ELDEN RING,Multiplayer,1,Gold
259,ELDEN RING,Atmospheric,1,Gold
260,ELDEN RING,OnlineCo-Op,1,Gold
261,ELDEN RING,Singleplayer,1,Gold
262,ELDEN RING,GreatSoundtrack,1,Gold
263,ELDEN RING,CharacterCustomization,1,Gold
264,ELDEN RING,RPG,1,Gold
265,ELDEN RING,3D,1,Gold
266,ELDEN RING,Difficult,1,Gold
267,ELDEN RING,ThirdPerson,1,Gold
268,ELDEN RING,ActionRPG,1,Gold
269,ELDEN RING,Fantasy,1,Gold
270,ELDEN RING,Violent,1,Gold
271,ELDEN RING,Souls-like,1,Gold
272,ELDEN RING,FamilyFriendly,1,Gold
273,ELDEN RING,DarkFantasy,1,Gold
274,Red Dead Redemption 2,FPS,1,Gold
275,Red Dead Redemption 2,Action,1,Gold
276,Red Dead Redemption 2,Shooter,1,Gold
277,Red Dead Redemption 2,Adventure,1,Gold
278,Red Dead Redemption 2,OpenWorld,1,Gold
279,Red Dead Redemption 2,First-Person,1,Gold
280,Red Dead Redemption 2,Multiplayer,1,Gold
281,Red Dead Redemption 2,Atmospheric,1,Gold
282,Red Dead Redemption 2,Realistic,1,Gold
283,Red Dead Redemption 2,Singleplayer,1,Gold
284,Red Dead Redemption 2,GreatSoundtrack,1,Gold
285,Red Dead Redemption 2,Gore,1,Gold
286,Red Dead Redemption 2,Third-PersonShooter,1,Gold
287,Red Dead Redemption 2,ThirdPerson,1,Gold
288,Red Dead Redemption 2,Mature,1,Gold
289,Red Dead Redemption 2,StoryRich,1,Gold
290,Red Dead Redemption 2,Sandbox,1,Gold
291,NARAKA BLADEPOINT,Action,1,Gold
292,NARAKA BLADEPOINT,Adventure,1,Gold
293,NARAKA BLADEPOINT,PvP,1,Gold
294,NARAKA BLADEPOINT,Multiplayer,1,Gold
295,NARAKA BLADEPOINT,Survival,1,Gold
296,NARAKA BLADEPOINT,Gore,1,Gold
297,NARAKA BLADEPOINT,MassivelyMultiplayer,1,Gold
298,NARAKA BLADEPOINT,CharacterCustomization,1,Gold
299,NARAKA BLADEPOINT,FreetoPlay,1,Gold
300,NARAKA BLADEPOINT,ThirdPerson,1,Gold
301,NARAKA BLADEPOINT,Mature,1,Gold
302,NARAKA BLADEPOINT,Violent,1,Gold
303,NARAKA BLADEPOINT,HackandSlash,1,Gold
304,NARAKA BLADEPOINT,Parkour,1,Gold
305,Dead by Daylight,Action,1,Gold
306,Dead by Daylight,Co-op,1,Gold
307,Dead by Daylight,First-Person,1,Gold
308,Dead by Daylight,Multiplayer,1,Gold
309,Dead by Daylight,Atmospheric,1,Gold
310,Dead by Daylight,OnlineCo-Op,1,Gold
311,Dead by Daylight,Team-Based,1,Gold
312,Dead by Daylight,Survival,1,Gold
313,Dead by Daylight,Gore,1,Gold
314,Dead by Daylight,Horror,1,Gold
315,Dead by Daylight,Strategy,1,Gold
316,Dead by Daylight,Difficult,1,Gold
317,Dead by Daylight,Stealth,1,Gold
318,Dead by Daylight,ThirdPerson,1,Gold
319,Dead by Daylight,Mature,1,Gold
320,Dead by Daylight,Violent,1,Gold
321,Dead by Daylight,SurvivalHorror,1,Gold
322,Dead by Daylight,PsychologicalHorror,1,Gold
323,EA SPORTS FIFA 23,Co-op,1,Gold
324,EA SPORTS FIFA 23,PvP,1,Gold
325,EA SPORTS FIFA 23,Multiplayer,1,Gold
326,EA SPORTS FIFA 23,Realistic,1,Gold
327,EA SPORTS FIFA 23,OnlineCo-Op,1,Gold
328,EA SPORTS FIFA 23,Team-Based,1,Gold
329,EA SPORTS FIFA 23,Singleplayer,1,Gold
330,EA SPORTS FIFA 23,PvE,1,Gold
331,EA SPORTS FIFA 23,FreetoPlay,1,Gold
332,EA SPORTS FIFA 23,Simulation,1,Gold
333,EA SPORTS FIFA 23,ThirdPerson,1,Gold
334,EA SPORTS FIFA 23,eSports,1,Gold
335,EA SPORTS FIFA 23,Management,1,Gold
336,EA SPORTS FIFA 23,ImmersiveSim,1,Gold
337,EA SPORTS FIFA 23,LocalMultiplayer,1,Gold
338,EA SPORTS FIFA 23,Controller,1,Gold
339,EA SPORTS FC 24,Action,1,Gold
340,EA SPORTS FC 24,Co-op,1,Gold
341,EA SPORTS FC 24,PvP,1,Gold
342,EA SPORTS FC 24,First-Person,1,Gold
