,Source1,Source2,Weight,Tier
0,Destiny 2,Adventure/Open World,1,Platinum
1,Destiny 2,FPS,1,Platinum
2,Destiny 2,Co-op,1,Platinum
3,Destiny 2,Action,1,Platinum
4,Destiny 2,Player Interaction,1,Platinum
5,Destiny 2,Sci-fi,1,Platinum
6,Destiny 2,Visual Style,1,Platinum
7,Destiny 2,Multiplayer/Co-op,1,Platinum
8,Destiny 2,Shooter,1,Platinum
9,Destiny 2,Perspective,1,Platinum
10,Destiny 2,Massively Multiplayer,1,Platinum
11,Destiny 2,Free to Play,1,Platinum
12,Counter-Strike 2,FPS,1,Platinum
13,Counter-Strike 2,Co-op,1,Platinum
14,Counter-Strike 2,Action,1,Platinum
15,Counter-Strike 2,Player Interaction,1,Platinum
16,Counter-Strike 2,Multiplayer/Co-op,1,Platinum
17,Counter-Strike 2,Shooter,1,Platinum
18,Counter-Strike 2,Perspective,1,Platinum
19,Counter-Strike 2,Strategy,1,Platinum
20,Counter-Strike 2,Moddable,1,Platinum
21,Counter-Strike 2,Realistic,1,Platinum
22,Counter-Strike 2,Difficult,1,Platinum
23,Counter-Strike 2,War,1,Platinum
24,Counter-Strike 2,eSports,1,Platinum
25,Counter-Strike 2,Military,1,Platinum
26,Apex Legends,FPS,1,Platinum
27,Apex Legends,Co-op,1,Platinum
28,Apex Legends,Action,1,Platinum
29,Apex Legends,Player Interaction,1,Platinum
30,Apex Legends,Sci-fi,1,Platinum
31,Apex Legends,Multiplayer/Co-op,1,Platinum
32,Apex Legends,Shooter,1,Platinum
33,Apex Legends,Perspective,1,Platinum
34,Apex Legends,Character Customization,1,Platinum
35,Apex Legends,Survival,1,Platinum
36,Apex Legends,Strategy,1,Platinum
37,Apex Legends,Funny,1,Platinum
38,Apex Legends,Free to Play,1,Platinum
39,Apex Legends,Cinematic,1,Platinum
40,PUBG BATTLEGROUNDS,FPS,1,Platinum
41,PUBG BATTLEGROUNDS,Co-op,1,Platinum
42,PUBG BATTLEGROUNDS,Action,1,Platinum
43,PUBG BATTLEGROUNDS,Player Interaction,1,Platinum
44,PUBG BATTLEGROUNDS,Multiplayer/Co-op,1,Platinum
45,PUBG BATTLEGROUNDS,Shooter,1,Platinum
46,PUBG BATTLEGROUNDS,Perspective,1,Platinum
47,PUBG BATTLEGROUNDS,Survival,1,Platinum
48,PUBG BATTLEGROUNDS,Simulation,1,Platinum
49,PUBG BATTLEGROUNDS,Early Access,1,Platinum
50,PUBG BATTLEGROUNDS,Strategy,1,Platinum
51,PUBG BATTLEGROUNDS,Difficult,1,Platinum
52,PUBG BATTLEGROUNDS,Stealth,1,Platinum
53,Dota 2,Co-op,1,Platinum
54,Dota 2,Action,1,Platinum
55,Dota 2,Player Interaction,1,Platinum
56,Dota 2,Multiplayer/Co-op,1,Platinum
57,Dota 2,RPG,1,Platinum
58,Dota 2,Character Customization,1,Platinum
59,Dota 2,Simulation,1,Platinum
60,Dota 2,Fantasy,1,Platinum
61,Dota 2,Strategy,1,Platinum
62,Dota 2,Difficult,1,Platinum
63,Dota 2,Free to Play,1,Platinum
64,Dota 2,eSports,1,Platinum
65,Dota 2,RTS,1,Platinum
66,Cyberpunk 2077,Adventure/Open World,1,Platinum
